gender,title,first,last,street_number,street_name,city,state,country,postcode,latitude,longitude,timezone_offset,timezone_description,email,dob_date,dob_age,phone,id_name,id_value,nationality,hotel_name,hotel_street_number,hotel_street_name,hotel_city,hotel_state,hotel_country,hotel_postcode,hotel_email,hotel_phone,hotel_website,room_number,room_type,room_type_description,room_capacity,room_nightly_rate,reservation_start_date,reservation_end_date,reservation_total_cost,payment_date,payment_type,payment_amount,transaction_id,payment_notes,rating,review_title,review_text,review_date
female,Ms,"Kübra",Kunt,6785,"Maçka Cd",Trabzon,"Şırnak",Turkey,72775,-40.452,20.5911,-4:00,"Atlantic Time (Canada), Caracas, La Paz",kubra.kunt@example.com,1984-01-01T09:57:21.930Z,40,(796)-658-7211,"","",TR,"Westin New York Times Square",422,"New York Times Square",Westin,NY,US,10001,info@westinnytimes.example,"(212) 555-5555",http://www.westinnytimes.example,131,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2022-08-03,2022-08-06,2274,2022-08-03,"Credit Card",568.5,45575664,"",5,"Exceeded all expectations!","From the moment we arrived, we were treated with such warmth and hospitality.  The rooms were immaculate, the views breathtaking, and the food was incredible.  We'll absolutely be back!",2022-08-08
female,Ms,"ثنا","نكو نظر",3797,"شهید محمد منتظری","نجف‌آباد","کردستان",Iran,94741,65.3823,-47.5524,-9:00,Alaska,thn.nkwnzr@example.com,1968-08-26T10:14:21.429Z,55,046-31313098,"","",IR,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,294,Standard,"Cozy room with essential amenities",2,85,2022-09-06,2022-09-11,425,2022-09-06,Cash,318.75,36454190,"",3,"Mixed feelings","The location was great and the bed was comfortable, but the constant construction noise, lackluster breakfast, and unresponsive staff left a lot to be desired.",2022-09-08
female,Miss,Arpitha,Saniel,89,"Tilak Marg",Mumbai,"Andhra Pradesh",India,33673,-13.4588,-176.5497,+7:00,"Bangkok, Hanoi, Jakarta",arpitha.saniel@example.com,1948-03-09T12:48:29.423Z,76,8143770602,UIDAI,194600143220,IN,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,123,Deluxe,"Spacious room with upgraded furnishings",3,120,2022-08-05,2022-08-07,240,2022-08-05,"Credit Card",120,70397538,"",4,"Charming and comfortable getaway","This hotel had a lovely, intimate atmosphere. The staff were friendly, the pool area was relaxing, and it was the perfect location for exploring the city.",2022-08-08
male,Mr,Oliver,Barnaby,7345,"Richmond Ave",Souris,"Québec",Canada,"Y5B 7H1",-18.3649,95.9228,-6:00,"Central Time (US & Canada), Mexico City",oliver.barnaby@example.com,1992-09-23T21:01:49.464Z,31,"M59 P34-0265",SIN,532452935,CA,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,367,"Presidential Suite","The ultimate in luxury, with multiple bedrooms, living areas, and premium amenities",6,758,2023-06-03,2023-06-04,758,2023-06-03,"Bank Transfer",758,40135586,"",4,"Charming and comfortable getaway","This hotel had a lovely, intimate atmosphere. The staff were friendly, the pool area was relaxing, and it was the perfect location for exploring the city.",2023-06-03
female,Miss,Amber,Hopkins,7504,"Mill Road",Youghal,Monaghan,Ireland,87043,-36.9105,-149.4567,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",amber.hopkins@example.com,1952-02-02T18:59:29.694Z,72,031-851-6561,PPS,9326066T,IE,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,426,Standard,"Cozy room with essential amenities",2,85,2023-09-03,2023-09-17,1190,2023-09-03,Cash,1190,43736046,"",5,"Exceeded all expectations!","From the moment we arrived, we were treated with such warmth and hospitality.  The rooms were immaculate, the views breathtaking, and the food was incredible.  We'll absolutely be back!",2023-09-14
female,Miss,Monika,"Høivik",6322,Frierveien,Lena,Oslo,Norway,7391,5.7595,177.959,-6:00,"Central Time (US & Canada), Mexico City",monika.hoivik@example.com,1974-08-13T12:55:54.405Z,49,72901358,FN,13087448821,NO,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,321,Deluxe,"Spacious room with upgraded furnishings",3,120,2023-11-21,2023-11-26,600,2023-11-21,"Bank Transfer",150,72776361,"",2,"Not worth the price","For the amount we paid, I expected far better service and quality. The room was cramped, the view was terrible, and everything felt run-down.",2023-11-25
female,Mrs,Rosario,"Ramírez",3256,"Avenida de Castilla","Castellón de la Plana","Aragón",Spain,27624,47.3009,-9.0863,+7:00,"Bangkok, Hanoi, Jakarta",rosario.ramirez@example.com,1989-07-06T05:15:29.046Z,34,947-578-651,DNI,19641625-R,ES,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,451,Suite,"Luxurious suite with separate living area",4,243,2023-11-28,2023-12-05,1701,2023-11-28,"Bank Transfer",1275.75,11000033,"",1,"Dreadful experience, never again","The room was filthy, the staff were rude, and the noise level was unbearable.  Worst hotel stay I've ever had.",2023-11-29
male,Mr,Charlie,Peterson,8821,"Killarney Road",Kells,"Cork City",Ireland,75721,-51.0753,67.5997,+6:00,"Almaty, Dhaka, Colombo",charlie.peterson@example.com,1977-02-28T05:29:07.754Z,47,011-128-3548,PPS,5139290T,IE,"Hampton Inn Madison Square Garden Area Hotel",151,"Madison Square Garden Area",Hampton,MA,US,02138,info@hamptoninn.example,"(617) 222-2222",http://www.hamptoninn.example,113,"Family Room","Spacious accommodations for the whole family, may include bunk beds or connecting rooms",5,156,2023-12-11,2023-12-19,1248,2023-12-11,Cash,1248,57440912,"",4,"Luxurious and relaxing","The spa treatments were divine, the room was spacious and well-appointed, and the overall ambiance was perfect for unwinding. Highly recommended.",2023-12-17
male,Mr,"Barış","Topaloğlu",590,"Doktorlar Cd","İzmir",Batman,Turkey,88427,61.9289,-0.5166,+9:30,"Adelaide, Darwin",baris.topaloglu@example.com,1970-03-08T18:15:10.032Z,54,(751)-368-0806,"","",TR,"Latham Hotel",78,Latham,Latham,Saxony,DE,20052,info@latham.example,"(617) 222-2222",http://www.latham.example,251,Deluxe,"Spacious room with upgraded furnishings",3,120,2023-04-06,2023-04-12,720,2023-04-06,Cash,180,84552099,"",2,"Not worth the price","For the amount we paid, I expected far better service and quality. The room was cramped, the view was terrible, and everything felt run-down.",2023-04-15
female,Miss,Edeltrud,Rempel,5550,"Rosenstraße",Solms,Sachsen-Anhalt,Germany,88383,-12.1276,-133.2549,-9:00,Alaska,edeltrud.rempel@example.com,1946-07-26T10:23:37.748Z,77,0154-1261912,SVNR,"38 260746 R 565",DE,"Courtyard By Marriott",30,"By Marriott",Courtyard,MA,US,02138,info@courtyardbymarriott.example,"(617) 222-2222",http://www.courtyardbymarriott.example,122,Standard,"Cozy room with essential amenities",2,85,2023-09-30,2023-10-10,850,2023-09-30,Cash,637.5,91082403,"",1,"Dreadful experience, never again","The room was filthy, the staff were rude, and the noise level was unbearable.  Worst hotel stay I've ever had.",2023-10-09
male,Mr,Malte,Lind,2273,Kapellenweg,Ulrichstein,Rheinland-Pfalz,Germany,70751,-68.5975,-177.8027,+11:00,"Magadan, Solomon Islands, New Caledonia",malte.lind@example.com,1957-09-27T03:00:37.281Z,66,0393-3302748,SVNR,"44 260957 L 096",DE,"Pickwick Arms Hotel",8,"Pickwick Arms",Pickwick,Hamburg,DE,20149,info@pickwickarms.example,"(0151) 555-5555",http://www.pickwickarms.example,466,Deluxe,"Spacious room with upgraded furnishings",3,120,2022-06-16,2022-06-18,240,2022-06-16,"Credit Card",60,10997455,"",2,"Not worth the price","For the amount we paid, I expected far better service and quality. The room was cramped, the view was terrible, and everything felt run-down.",2022-06-17
female,Ms,Layla,White,1410,"Mornington Road",Rotorua,Canterbury,"New Zealand",98344,30.3879,40.4747,-4:00,"Atlantic Time (Canada), Caracas, La Paz",layla.white@example.com,1981-07-20T07:21:14.156Z,42,(148)-150-1292,"","",NZ,"Hampton Inn Madison Square Garden Area Hotel",151,"Madison Square Garden Area",Hampton,MA,US,02138,info@hamptoninn.example,"(617) 222-2222",http://www.hamptoninn.example,250,Standard,"Cozy room with essential amenities",2,85,2023-12-28,2024-01-03,510,2023-12-28,"Bank Transfer",382.5,66911219,"",5,"Exceeded all expectations!","From the moment we arrived, we were treated with such warmth and hospitality.  The rooms were immaculate, the views breathtaking, and the food was incredible.  We'll absolutely be back!",2024-01-06
